event_id,hazard,event_name,alert,status,event_started,source,station_name,latitude,longitude,distance_km,bearing_deg,severity_band,sla_extension_days,impact_model,source_url
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Rajabasa 2 Hub,-5.801806,105.583861,37.8,28.1,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Bakauheni Hub,-5.862343,105.756102,45.5,54.1,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Kalianda First Mile Hub,-5.729425,105.59295,45.5,24.4,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Kalianda Hub,-5.729425,105.59295,45.5,24.4,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Penengahan Hub,-5.750894,105.687439,48.8,36.9,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Cinangka Hub,-6.163583,105.874167,50.3,97.8,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Punduh Pidada (Pedada) Hub,-5.703222,105.176833,52.0,328.4,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Labuan Hub,-6.352417,105.840639,53.9,121.1,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Sidomulyo First Mile Hub,-5.620878,105.522068,54.6,11.6,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
magma:anak-krakatau-lampung,volcano,Anak Krakatau — Level III (Siaga),Level III (Siaga),active,,PVMBG / MAGMA Indonesia,Sidomulyo Hub,-5.620878,105.522068,54.6,11.6,Heavy ashfall,3,radial,https://magma.esdm.go.id/v1/gunung-api/tingkat-aktivitas
