Station Name, Latitude, Longitude
MH 2 Galang 2 Hub, 1.090827, 120.802806
MH 1 Tanete Rilau Hub, -4.489528, 119.604583
MH 1 Jagoi Babang Hub, 1.325308, 109.889867
MH 2 Kembang Janggut Hub, 0.129279, 116.391343
MH 1 Ledo Hub, 1.038264, 109.613615
MH 1 Jangkat Hub, -2.533139, 101.817667
MH 1 Boliohuto Hub, 0.653302, 122.616339
MH 1 Paguyaman Hub, 0.642601, 122.558965
MH 1 Sungai Rengas Hub, -0.006294, 109.27751
MH 1 Bukit Batu Hub, 1.312528, 102.149611
MH 1 Rangsang Hub, 0.841778, 103.075556
MH 1 Tanjungkerta Hub, -6.764503, 107.88943
Klojen Hub, -8.001015, 112.619788
Cikupa 7 Hub, -6.220818, 106.529453
Simo 2 Hub, -7.439227, 110.67815
Bogor Selatan 3 Hub, -6.617958, 106.784297
Curug 6 Hub, -6.249, 106.562917
Cibeureum Hub, -7.354779, 108.27179
Cikarang Barat 2 Hub, -6.283119, 107.086613
Rawalumbu 2 Hub, -6.270622, 106.994196
Medan 2 Hub, 3.603218, 98.715503
Curug Tangerang 2 Hub, -6.241411, 106.580607
Cipondoh 8 Hub, -6.201297, 106.680699
Beji Kota Depok 3 Hub, -6.38618, 106.80568
Karangdadap Hub, -6.965712, 109.693752
Sooko Hub, -7.520852, 112.413674
Tulungagung 3 Hub, -8.074051, 111.910495
Kelapa Dua 6 Hub, -6.2715, 106.598639
Baleendah 5 Hub, -7.018056, 107.652583
Baleendah 4 Hub, -6.996722, 107.630889
Margaasih 4 Hub, -6.953629, 107.534162
Margaasih 5 Hub, -6.948833, 107.553889
Sukmajaya 6 Hub, -6.44696, 106.83636
Nagreg Hub, -7.024763, 107.871242
Cikarang Timur Hub, -6.303833, 107.192472
Tenayan Raya 2 Hub, 0.492004, 101.51568
Pinang 8 Hub, -6.213194, 106.682028
Pinang 6 Hub, -6.205194, 106.680583
Purworejo Kota Pasuruan Hub, -7.632208, 112.911643
Pasar Rebo 3 Hub, -6.345563, 106.868063
Legok 4 Hub, -6.326357, 106.556107
Pakuhaji 7 Hub, -6.067611, 106.63075
